Product Name,Product Link,Product Price,Product Category,Image & Anchor Links,Full Description
Lava Gray,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/lava-gray,KWD 12.000,Illuzion- Shweiqan Collection,"https://cdn.adasat.online/product/product11721312541.jpg, https://cdn.adasat.online/product/additional/product21721312542.jpg, https://cdn.adasat.online/product/product11721312541.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only"
Arina,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/arina,KWD 12.000,Illuzion- Shweiqan Collection,"https://cdn.adasat.online/product/additional/product21724525532.jpg, https://cdn.adasat.online/product/product11724525532.jpg, https://cdn.adasat.online/product/additional/product21724525532.jpg, https://cdn.adasat.online/product/product11724525532.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only"
Anya,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/anya,KWD 12.000,Illuzion- Shweiqan Collection,"https://cdn.adasat.online/product/product11721312199.jpg, https://cdn.adasat.online/product/additional/product21721312286.jpg, https://cdn.adasat.online/product/product11721312199.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only"
Elia,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/elia,KWD 12.000,Illuzion- Shweiqan Collection,"https://cdn.adasat.online/product/product11721312475.jpg, https://cdn.adasat.online/product/additional/product21721312475.jpg, https://cdn.adasat.online/product/product11721312475.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only"
Lilly,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/lilly,KWD 12.000,,,
Bobo Brown,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/bobo-brown,KWD 12.000,,,
Gel eye mask Hot / Cold,https://adasat.online/kw-en/product-details/accessories/self-care/gel-eye-mask/gel-eye-mask-hot-cold,KWD 1.900,,,
Biofinity Pack of 6,https://adasat.online/kw-en/product-details/prescription/cooper-vision-/biofinity-xr/biofinity-pack-of-6,KWD 57.000,,,
Biofinity Pack of 3,https://adasat.online/kw-en/product-details/prescription/cooper-vision-/biofinity-xr/biofinity-pack-of-3,KWD 32.000,,,
Compact Reading Glasses Black,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ireader/compact-reading-glasses-black,KWD 12.000,,,
Classy Reading Glasses Black,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ireader/classy-reading-glasses-black,KWD 15.000,,,
White Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/white-transparent,KWD 15.000,,,
Brown Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/brown-transparent,KWD 15.000,,,
Beige Transparent,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/beige-transparent,KWD 15.000,,,
Shiny Black RM4110 - C1,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/shiny-black-rm4110---c1,KWD 15.000,,,
Matte Black RM4110 - C2,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ritz-eyewear/matte-black-rm4110---c2,KWD 15.000,,,
Eve,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/icon-collection/eve,KWD 12.000,,,
Ayla,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/icon-collection/ayla2,KWD 12.000,,,
Thunder,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/thunder-3,KWD 7.000,,,
Snow,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/snow-6,KWD 7.000,,,
Sand,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/sand-6,KWD 7.000,,,
Rio,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/rio-4,KWD 7.000,,,
Navy,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/navy-6,KWD 7.000,,,
Mint,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/mint-6,KWD 7.000,,,
Lava,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/lava-6,KWD 7.000,,,
Diamond,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/diamond-9,KWD 7.000,,,
Blond,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/blond-3,KWD 7.000,,,
Beige,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/beige-3,KWD 7.000,,,
Ash,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/ash-8,KWD 7.000,,,
Umber,https://adasat.online/kw-en/product-details/colored-lenses/wonderlook/wonderlook/umber-8,KWD 7.000,,,
ET Merry Must Haves,https://adasat.online/kw-en/product-details/accessories/self-care/ecotools/et-merry-must-haves,KWD 10.250,,,
ET Gua Sha Kit,https://adasat.online/kw-en/product-details/accessories/self-care/ecotools/et-gua-sha-kit,KWD 14.750,,,
RT XL Makeup Removing Wipes 25pc,https://adasat.online/kw-en/product-details/accessories/self-care/real-techniques/rt-xl-makeup-removing-wipes-25pc,KWD 4.500,,,
RT In The Clear Eye Make Up Remover,https://adasat.online/kw-en/product-details/accessories/self-care/real-techniques/rt-in-the-clear-eye-make-up-remover,KWD 7.000,,,
RT Face Erase Make Up Remover Balm,https://adasat.online/kw-en/product-details/accessories/self-care/real-techniques/rt-face-erase-make-up-remover-balm,KWD 8.250,,,
Eyebrow Glue,https://adasat.online/kw-en/product-details/accessories/eyebrow/bj-beauty/eyebrow-glue,KWD 3.500,,,
Solaris Ultra 60ml,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/solaris-ultra-60ml,KWD 11.000,,,
Solaris Cream 60ml,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/solaris-cream-60ml,KWD 11.750,,,
Fair and Pink Gold 30g,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/fair-and-pink-gold,KWD 18.500,,,
Dermoteen Whitening Cream 20g,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/dermoteen-whitening-cream,KWD 8.750,,,
Dermoteen Face Wash 100ml,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/dermoteen-face-wash,KWD 8.750,,,
Eventone C Cream,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/eventone-c-bodymilk,KWD 10.000,,,
Eventone C Body Milk,https://adasat.online/kw-en/product-details/accessories/self-care/pharma-health/eventone-c-cream,KWD 13.000,,,
UOD Ultra One Day 90pcs,https://adasat.online/kw-en/product-details/prescription/bausch%20lomb/ultra-one-day/uod-ultra-one-day-90pcs,KWD 50.000,,,
UOD Ultra One Day 30pcs,https://adasat.online/kw-en/product-details/prescription/bausch%20lomb/ultra-one-day/uod-ultra-one-day,KWD 19.750,,,
Azure,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/azure22,"KWD 3.000
12.000
75% off",,,
Smoke Gray,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/smoke-gray22,"KWD 3.000
12.000
75% off",,,
Magic Ice,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/Magic%20Ice222,"KWD 3.000
12.000
75% off",,,
Ice Skate,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/ice-skate22,"KWD 3.000
12.000
75% off",,,
Pure Blue,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/pure-blue22,"KWD 3.000
12.000
75% off",,,
Pure Green,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/pure-green22,"KWD 3.000
12.000
75% off",,,
Pure Avela,https://adasat.online/kw-en/product-details/colored-lenses/lazord/up-to-3-month/pure-avela22,"KWD 3.000
12.000
75% off",,,
Pure Blue,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/pure-blue2,"KWD 2.000
8.000
75% off",,,
Ice Skate,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/Ice%20Skate2,"KWD 2.000
8.000
75% off",,,
Lazorde,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/lazorde2,"KWD 2.000
8.000
75% off",,,
Pure Avela,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/pure-avela2,"KWD 2.000
8.000
75% off",,,
Azure,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/azure2,"KWD 2.000
8.000
75% off",,,
Magic Ice,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/magic-ice2,"KWD 2.000
8.000
75% off",,,
White Smoke,https://adasat.online/kw-en/product-details/colored-lenses/lazord/1-month/white-smoke2,"KWD 2.000
8.000
75% off",,,
May Gray,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-one-month/may-gray2,"KWD 2.000
8.000
75% off",,,
May Green,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-one-month/may-green2,"KWD 2.000
8.000
75% off",,,
May Quartzo,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-one-month/may-quartzo2,"KWD 2.000
8.000
75% off",,,
May Rose,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-one-month/may-rose2,"KWD 2.000
8.000
75% off",,,
May Blue,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-one-month/may-blue2,"KWD 2.000
8.000
75% off",,,
Sun,https://adasat.online/kw-en/product-details/colored-lenses/anesthesia/noor-stars-usa/sun-0,KWD 15.000,,,
Nova,https://adasat.online/kw-en/product-details/colored-lenses/anesthesia/noor-stars-usa/nova-0,KWD 15.000,,,
Noor,https://adasat.online/kw-en/product-details/colored-lenses/anesthesia/noor-stars-usa/noor-0,KWD 15.000,,,
Luna,https://adasat.online/kw-en/product-details/colored-lenses/anesthesia/noor-stars-usa/luna-0,KWD 15.000,,,
Snake,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/snake-3,KWD 12.000,,,
Sassy,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/sassy,KWD 12.000,,,
Nmr,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/nmr,KWD 12.000,,,
Ginger Bread,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/ginger-bread,KWD 12.000,,,
Elegant,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/elegant,KWD 12.000,,,
Cutie,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/amaracutie,KWD 12.000,,,
